Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Milk and milk products excluding cheese;ml;1763;1735;1825;1827;1864;1751;1887;1798;1847;1766;1712;1818;1746;1697;1752;1772;1700;1700;1579
Cheese;g;146;145;150;137;143;149;145;137;136;144;150;144;141;133;140;141;150;134;131
Carcase meat;g;237;219;215;241;262;248;235;232;218;233;213;204;192;211;201;201;198;274;166
Non-carcase meat and meat products;g;742;826;853;803;826;800;776;763;778;730;742;770;778;759;691;703;769;733;781
Fish;g;186;183;188;201;216;210;223;185;194;186;188;186;173;166;184;187;169;158;155
Eggs;no.;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2
Fats;g;155;163;149;147;148;154;151;169;148;153;151;137;150;130;154;147;123;115;117
Sugar and preserves;g;108;100;92;92;97;84;93;89;102;99;91;94;97;79;82;79;83;77;83
Fresh and processed fruit and vegetables, including potatoes;g;3587;3657;3637;3592;3901;3809;3832;3636;3539;3498;3530;3377;3272;3217;3260;3286;3238;3378;2928
Fresh and processed vegetables, including potatoes;g;1932;1945;1989;1959;2052;2063;2076;2030;1935;1960;1939;1877;1798;1860;1879;1894;1889;2035;1735
Fresh and processed potatoes;g;633;653;670;637;637;678;652;657;595;605;626;566;514;573;552;547;502;576;511
Fresh and processed fruit and vegetables, excluding potatoes;g;2954;3004;2967;2954;3264;3131;3180;2979;2944;2893;2904;2810;2757;2644;2709;2739;2737;2803;2417
Fresh and processed vegetables, excluding potatoes;g;1298;1291;1319;1321;1415;1385;1424;1373;1339;1355;1313;1310;1284;1286;1327;1347;1387;1459;1224
Fresh and processed fruit;g;1656;1713;1648;1633;1849;1746;1756;1606;1605;1538;1592;1500;1473;1358;1382;1392;1349;1343;1193
Bread;g;671;684;648;592;604;613;593;606;572;551;568;533;535;485;484;487;445;449;439
Flour;g;49;71;43;56;52;40;53;46;44;54;56;56;51;52;51;54;41;88;37
Cakes, buns and pastries;g;138;149;148;148;167;154;137;131;144;135;136;142;145;129;131;131;139;146;139
Biscuits and crispbreads;g;122;142;137;134;125;126;135;136;140;133;144;151;153;133;137;141;127;134;129
Other cereals and cereal products;g;554;579;554;551;586;575;579;534;615;621;626;587;566;582;593;619;570;599;568
Beverages;g;54;48;59;56;51;47;56;54;55;57;53;59;55;49;56;58;67;57;50
Other food and drink;g;858;929;974;912;942;954;933;901;911;780;818;911;951;949;1080;1147;938;864;1000
Soft drinks;ml;1465;1538;1841;1521;1330;1654;1206;1468;1435;1396;1549;1402;1591;1365;1433;1505;1319;1120;1295
Confectionery;g;116;113;121;123;121;125;108;107;128;119;123;126;116;110;124;123;118;116;128
Alcoholic drinks;ml;1110;1117;1096;1045;1041;1076;1132;953;1023;1093;1021;984;952;882;981;1052;844;899;778